County,Year,Asthma,Births,Children_In_Poverty,Communicable_Diseases,COPD_ED,Death_Age,Deaths,ED_Visits,Gini_Coefficient,Poor_Prenatal_Care,Population,Race_White,Race_Black,Race_American Indian,Race_Asian,Race_Native Hawaiian,Race_2orMore,Teen_Mother,Under1500G_Birth,Infant_Deaths,Median_Household_Income
Atlantic,"2,016","9,639","2,831",0.236,"1,100","5,064",72.1,"2,757","129,060",0.5,12,"267,217",0.7128,0.1728,0.0067,0.0809,0.0008,0.0206,122,45,17,45406
Atlantic,"2,017","9,285","2,808",0.236,"1,564","4,524",71.9,"2,702","120,217",0.5,12,"265,498",0.7119,0.1725,0.0007,0.0813,0.0008,0.0268,99,51,19,46796
Atlantic,"2,018","9,144","2,778",0.236,"2,191","5,459",73.1,"2,827","131,873",0.5,20,"263,989",0.7124,0.1717,0.0068,0.0807,0.0009,0.0275,121,52,19,48548
Atlantic,"2,019","9,473","2,829",0.236,"1,879","5,604",73.3,"2,836","123,240",0.5,11,"263,670",0.7111,0.1723,0.0070,0.0806,0.0009,0.0281,137,34,18,50631
Atlantic,"2,020","8,123","2,789",0.236,"19,376","4,396",73.2,"3,306","97,389",0.5,12,"274,534",0.7104,0.1726,0.0070,0.0805,0.0010,0.0285,118,40,18.25,52503.63448
Bergen,"2,016","10,844","9,451",0.064,"2,837","4,544",78,"7,150","219,470",0.47,12,"928,120",0.7392,0.0704,0.0704,0.1642,0.0008,0.2080,98,96,19,79407
Bergen,"2,017","9,615","9,319",0.064,"3,843","4,403",78.6,"7,332","207,470",0.47,14,"932,420",0.7344,0.0715,0.0048,0.1671,0.0009,0.0212,111,88,26,81676
Bergen,"2,018","10,804","9,154",0.064,"5,221","5,368",78.6,"7,300","216,966",0.47,16,"932,816",0.7312,0.0726,0.0050,0.1685,0.0009,0.0218,90,108,18,86404
Bergen,"2,019","11,666","8,964",0.064,"4,631","5,730",78.5,"7,429","218,915",0.47,14,"932,202",0.7271,0.0735,0.0052,0.1708,0.0010,0.0224,88,103,36,89456
Bergen,"2,020","8,007","8,602",0.064,"62,623","3,732",78.3,"9,342","152,210",0.47,9,"955,732",0.7234,0.0749,0.0054,0.1723,0.0011,0.0230,87,92,24.75,93087.43673
Burlington,"2,016","7,304","4,427",0.109,"1,526","3,805",74.7,"4,181","145,521",0.43,12,"445,972",0.7382,0.1783,0.0033,0.0512,0.0008,0.0283,106,70,21,57951
Burlington,"2,017","7,805","4,446",0.109,"1,549","3,769",74.8,"4,202","142,991",0.43,19,"445,610",0.7342,0.1797,0.0033,0.0528,0.0009,0.0291,101,80,27,59432
Burlington,"2,018","9,406","4,380",0.109,"1,985","4,422",74.4,"4,182","139,471",0.43,14,"444,745",0.7301,0.1819,0.0035,0.0538,0.0009,0.0298,102,63,19,61244
Burlington,"2,019","8,950","4,426",0.109,"1,630","4,318",75.4,"4,163","135,152",0.43,14,"445,349",0.7265,0.1835,0.0035,0.0551,0.0010,0.0304,101,54,19,63605
Burlington,"2,020","6,103","4,308",0.109,"27,866","3,619",75.2,"4,809","99,904",0.43,6,"461,860",0.7227,0.1858,0.0035,0.0562,0.0009,0.0308,86,50,21.5,65610.58044
Camden,"2,016","19,271","6,173",0.184,"2,030","6,694",72.5,"4,721","260,483",0.48,25,"507,002",0.6960,0.2137,0.0063,0.0584,0.0010,0.0245,274,136,44,50230
Camden,"2,017","21,552","5,969",0.184,"2,318","7,418",72,"4,949","262,735",0.48,31,"506,224",0.6935,0.2143,0.0064,0.0596,0.0011,0.0251,239,115,52,51889
Camden,"2,018","21,881","6,107",0.184,"3,084","7,367",72.6,"5,104","251,253",0.48,34,"506,353",0.6913,0.2154,0.0065,0.0599,0.0011,0.0258,278,109,29,53740
Camden,"2,019","20,855","6,060",0.184,"2,458","6,839",72.7,"4,960","243,835",0.48,21,"506,471",0.6880,0.2170,0.0067,0.0606,0.0012,0.0265,238,107,45,55780
Camden,"2,020","13,275","5,716",0.184,"36,854","4,238",73.4,"5,908","187,863",0.48,11,"523,485",0.6847,0.2188,0.0069,0.0610,0.0012,0.0273,210,96,42.5,57763.18208
Cape May,"2,016",822,834,0.135,319,996,75.9,"1,279","38,270",0.46,1,"93,655",0.9166,0.0505,0.0038,0.0100,0.0007,0.0184,36,9,3,56059
Cape May,"2,017",776,767,0.135,379,961,75.5,"1,331","37,704",0.46,0,"93,129",0.9165,0.0497,0.0041,0.0100,0.0008,0.0188,28,5,5,58019
Cape May,"2,018",835,817,0.135,774,"1,018",75.2,"1,364","38,009",0.46,4,"92,446",0.9165,0.0042,0.0042,0.0099,0.0008,0.0197,30,8,3,60264
Cape May,"2,019",871,765,0.135,787,"1,049",76,"1,308","36,591",0.46,2,"92,039",0.9159,0.0488,0.0045,0.0100,0.0008,0.0199,24,12,5,62734
Cape May,"2,020",503,773,0.135,"5,529",635,76,"1,437","27,746",0.46,3,"95,263",0.9158,0.0486,0.0045,0.0101,0.0009,0.0201,22,12,4,65131.35287
Cumberland,"2,016","7,360","1,854",0.192,673,"2,693",71.5,"1,528","97,041",0.51,12,"153,233",0.7180,0.2217,0.0161,0.0141,0.0014,0.0287,137,39,14,37617
Cumberland,"2,017","8,882","1,817",0.192,621,"2,905",71.1,"1,636","94,783",0.51,10,"151,423",0.7162,0.2221,0.0161,0.0146,0.0015,0.0294,152,37,17,38807
Cumberland,"2,018","6,434","1,895",0.192,589,"2,761",70.5,"1,597","85,806",0.51,10,"150,635",0.7158,0.2223,0.0161,0.0145,0.0017,0.0296,123,33,9,39587
Cumberland,"2,019","4,850","1,802",0.192,628,"2,350",72.4,"1,625","102,296",0.51,11,"149,527",0.7137,0.2235,0.0162,0.0145,0.0018,0.0303,135,28,6,41237
Cumberland,"2,020","2,644","1,784",0.192,"11,010","1,310",72.3,"1,913","82,128",0.51,3,"154,152",0.7121,0.2235,0.0167,0.0146,0.0019,0.0313,122,24,12,42521.04388
Essex,"2,016","41,179","10,422",0.221,"2,170","7,407",71.1,"5,985","369,917",0.54,41,"792,689",0.4924,0.4214,0.0074,0.0551,0.0014,0.0223,482,213,59,62334
Essex,"2,017","41,786","10,277",0.221,"2,525","7,166",71.5,"6,105","353,169",0.54,58,"796,349",0.4907,0.4209,0.0076,0.0564,0.0014,0.0229,392,205,62,64232
Essex,"2,018","40,820","10,399",0.221,"4,210","7,364",71.8,"6,125","337,952",0.54,64,"798,570",0.4892,0.4197,0.0079,0.0581,0.0015,0.0236,423,222,54,65214
Essex,"2,019","39,850","9,890",0.221,"5,200","7,860",71.7,"5,958","351,909",0.54,74,"798,975",0.4870,0.4199,0.0082,0.0594,0.0015,0.0239,388,209,55,67657
Essex,"2,020","26,720","9,618",0.221,"60,363","5,179",71.7,"8,802","258,723",0.54,52,"863,728",0.4849,0.4199,0.0083,0.0608,0.0016,0.0245,334,154,58,69533.31993
Gloucester,"2,016","5,221","2,859",0.085,952,"2,437",73.7,"2,638","89,325",0.42,9,290761,0.8364,0.1088,0.0027,0.0298,0.0007,0.0216,81,36,14,50804
Gloucester,"2,017","5,527","2,920",0.085,"1,035","2,555",73,"2,778","85,959",0.42,13,290961,0.8334,0.1105,0.0028,0.0306,0.0007,0.0220,76,48,15,52496
