County,Asthma,Births,Children_In_Poverty,Communicable_Diseases,COPD_ED,Death_Age,Deaths,ED_Visits,Gini_Coefficient,Poor_Prenatal_Care,Population_2020,Race_White,Race_Black,Race_American_Indian,Race_Asian,Race_Native_Hawaiian,Race_Other,Race_2orMore,Teen_Mother,Under1500G_Birth,,,,,,,,,,,
Atlantic 2016,"9,639","2,831",0.236,"1,100","5,064",72.1,"2,757","129,060",0.5,12,"274,534","156,796","41,519","1,253","21,784",342,"27,192","25,648",122,45,,,,,,,,,,,
Atlantic 2017,"9,285","2,808",0.236,"1,564","4,524",71.9,"2,702","120,217",0.5,12,"274,534","156,796","41,519","1,253","21,784",342,"27,192","25,648",99,51,,,,,,,,,,,
Atlantic 2018,"9,144","2,778",0.236,"2,191","5,459",73.1,"2,827","131,873",0.5,20,"274,534","156,796","41,519","1,253","21,784",342,"27,192","25,648",121,52,,,,,,,,,,,
Atlantic 2019,"9,473","2,829",0.236,"1,879","5,604",73.3,"2,836","123,240",0.5,11,"274,534","156,796","41,519","1,253","21,784",342,"27,192","25,648",137,34,,,,,,,,,,,
Atlantic 2020,"8,123","2,789",0.236,"19,376","4,396",73.2,"3,306","97,389",0.5,12,"274,534","156,796","41,519","1,253","21,784",342,"27,192","25,648",118,40,,,,,,,,,,,
Bergen 2016,"10,844","9,451",0.064,"2,837","4,544",78,"7,150","219,470",0.47,12,"955,732","543,849","54,831","4,535","158,630",217,"96,383","97,287",98,96,,,,,,,,,,,
Bergen 2017,"9,615","9,319",0.064,"3,843","4,403",78.6,"7,332","207,470",0.47,14,"955,732","543,849","54,831","4,535","158,630",217,"96,383","97,287",111,88,,,,,,,,,,,
Bergen 2018,"10,804","9,154",0.064,"5,221","5,368",78.6,"7,300","216,966",0.47,16,"955,732","543,849","54,831","4,535","158,630",217,"96,383","97,287",90,108,,,,,,,,,,,
Bergen 2019,"11,666","8,964",0.064,"4,631","5,730",78.5,"7,429","218,915",0.47,14,"955,732","543,849","54,831","4,535","158,630",217,"96,383","97,287",88,103,,,,,,,,,,,
Bergen 2020,"8,007","8,602",0.064,"62,623","3,732",78.3,"9,342","152,210",0.47,9,"955,732","543,849","54,831","4,535","158,630",217,"96,383","97,287",87,92,,,,,,,,,,,
Burlington 2016,"7,304","4,427",0.109,"1,526","3,805",74.7,"4,181","145,521",0.43,12,"461,860","303,024","77,749","1,168","26,235",303,"16,041","37,340",106,70,,,,,,,,,,,
Burlington 2017,"7,805","4,446",0.109,"1,549","3,769",74.8,"4,202","142,991",0.43,19,"461,860","303,024","77,749","1,168","26,235",303,"16,041","37,340",101,80,,,,,,,,,,,
Burlington 2018,"9,406","4,380",0.109,"1,985","4,422",74.4,"4,182","139,471",0.43,14,"461,860","303,024","77,749","1,168","26,235",303,"16,041","37,340",102,63,,,,,,,,,,,
Burlington 2019,"8,950","4,426",0.109,"1,630","4,318",75.4,"4,163","135,152",0.43,14,"461,860","303,024","77,749","1,168","26,235",303,"16,041","37,340",101,54,,,,,,,,,,,
Burlington 2020,"6,103","4,308",0.109,"27,866","3,619",75.2,"4,809","99,904",0.43,6,"461,860","303,024","77,749","1,168","26,235",303,"16,041","37,340",86,50,,,,,,,,,,,
Camden 2016,"19,271","6,173",0.184,"2,030","6,694",72.5,"4,721","260,483",0.48,25,"523,485","293,198","101,109","2,468","32,598",196,"51,285","42,631",274,136,,,,,,,,,,,
Camden 2017,"21,552","5,969",0.184,"2,318","7,418",72,"4,949","262,735",0.48,31,"523,485","293,198","101,109","2,468","32,598",196,"51,285","42,631",239,115,,,,,,,,,,,
Camden 2018,"21,881","6,107",0.184,"3,084","7,367",72.6,"5,104","251,253",0.48,34,"523,485","293,198","101,109","2,468","32,598",196,"51,285","42,631",278,109,,,,,,,,,,,
Camden 2019,"20,855","6,060",0.184,"2,458","6,839",72.7,"4,960","243,835",0.48,21,"523,485","293,198","101,109","2,468","32,598",196,"51,285","42,631",238,107,,,,,,,,,,,
Camden 2020,"13,275","5,716",0.184,"36,854","4,238",73.4,"5,908","187,863",0.48,11,"523,485","293,198","101,109","2,468","32,598",196,"51,285","42,631",210,96,,,,,,,,,,,
Cape May 2016,822,834,0.135,319,996,75.9,"1,279","38,270",0.46,1,"95,263","81,536","3,567",253,908,28,"3,296","5,675",36,9,,,,,,,,,,,
Cape May 2017,776,767,0.135,379,961,75.5,"1,331","37,704",0.46,0,"95,263","81,536","3,567",253,908,28,"3,296","5,675",28,5,,,,,,,,,,,
Cape May 2018,835,817,0.135,774,"1,018",75.2,"1,364","38,009",0.46,4,"95,263","81,536","3,567",253,908,28,"3,296","5,675",30,8,,,,,,,,,,,
Cape May 2019,871,765,0.135,787,"1,049",76,"1,308","36,591",0.46,2,"95,263","81,536","3,567",253,908,28,"3,296","5,675",24,12,,,,,,,,,,,
Cape May 2020,503,773,0.135,"5,529",635,76,"1,437","27,746",0.46,3,"95,263","81,536","3,567",253,908,28,"3,296","5,675",22,12,,,,,,,,,,,
Cumberland 2016,"7,360","1,854",0.192,673,"2,693",71.5,"1,528","97,041",0.51,12,"154,152","74,606","28,581","2,382","2,108",19,"28,050","18,406",137,39,,,,,,,,,,,
Cumberland 2017,"8,882","1,817",0.192,621,"2,905",71.1,"1,636","94,783",0.51,10,"154,152","74,606","28,581","2,382","2,108",19,"28,050","18,406",152,37,,,,,,,,,,,
Cumberland 2018,"6,434","1,895",0.192,589,"2,761",70.5,"1,597","85,806",0.51,10,"154,152","74,606","28,581","2,382","2,108",19,"28,050","18,406",123,33,,,,,,,,,,,
Cumberland 2019,"4,850","1,802",0.192,628,"2,350",72.4,"1,625","102,296",0.51,11,"154,152","74,606","28,581","2,382","2,108",19,"28,050","18,406",135,28,,,,,,,,,,,
Cumberland 2020,"2,644","1,784",0.192,"11,010","1,310",72.3,"1,913","82,128",0.51,3,"154,152","74,606","28,581","2,382","2,108",19,"28,050","18,406",122,24,,,,,,,,,,,
Essex 2016,"41,179","10,422",0.221,"2,170","7,407",71.1,"5,985","369,917",0.54,41,"863,728","261,487","335,047","4,604","47,591",378,"124,085","90,536",482,213,,,,,,,,,,,
Essex 2017,"41,786","10,277",0.221,"2,525","7,166",71.5,"6,105","353,169",0.54,58,"863,728","261,487","335,047","4,604","47,591",378,"124,085","90,536",392,205,,,,,,,,,,,
Essex 2018,"40,820","10,399",0.221,"4,210","7,364",71.8,"6,125","337,952",0.54,64,"863,728","261,487","335,047","4,604","47,591",378,"124,085","90,536",423,222,,,,,,,,,,,
